transcript	Control_rep1	Control_rep2	Control_rep3	Arsenite_rep1	Arsenite_rep2	Arsenite_rep3
ENST00000472167	89	68	64	15	18	21
ENST00000472174	74	46	32	3	2	1
ENST00000472183	2224	1467	1183	234	138	268
ENST00000472195	2		3	3	2	4
ENST00000472221	10	7	6			
ENST00000472249	3	2	3			
ENST00000472252	6	3	4	2	1	1
ENST00000472257	50	58	37	46	25	27
ENST00000472273			1			
ENST00000472280	5	6	6		1	
ENST00000472289	6	7	4		2	2
ENST00000472303	1					
ENST00000472306	7	12	6	5		3
ENST00000472311	72	51	30	11		4
ENST00000472333	13	13	5		1	1
ENST00000472349	24	25	13	7	1	2
ENST00000472354	302	310	259	108	114	97
ENST00000472374			1			
ENST00000472379	2	3	2			1
ENST00000472382	1	2		1		
ENST00000472384	6	3	3	3	1	1
ENST00000472396	17	13	11	3	5	7
ENST00000472417	26	21	9	2	6	1
ENST00000472422	8		1	1		
ENST00000472435			1			
ENST00000472437	11	3	5	1	1	3
ENST00000472441	1			1		
ENST00000472468	2	1	2			
ENST00000472475	1250	1219	962	321	293	262
ENST00000472476	101	87	57	6	3	8
ENST00000472477	12	7	9	2		2
ENST00000472478		1				
ENST00000472484	938	700	466	116	146	138
ENST00000472486	26	25	22	32	15	16
ENST00000472487	53	53	55	25	25	20
ENST00000472495	30	19	14	3	3	5
ENST00000472505	16	9	12	2	2	
ENST00000472507	1					
ENST00000472509	120	96	88	35	26	30
ENST00000472528	8	7	3			1
ENST00000472531	9	6	6	10	4	6
ENST00000472545		1				
ENST00000472555			1			
ENST00000472571	6	4	4	4	6	5
ENST00000472574	6	14	9	15	11	13
ENST00000472580	26	23	14	5	1	2
ENST00000472590	6	4	2	1	1	
ENST00000472598	1					
ENST00000472599	59	29	34	11	4	5
ENST00000472600	1					
ENST00000472611	49	27	21	8	6	5
ENST00000472616	2	1	1	5	1	1
ENST00000472624	142	97	72	16	17	12
ENST00000472628	314	175	146	16	11	19
ENST00000472629	696	549	370	22	11	22
ENST00000472637	3	1	1	1		1
ENST00000472642	117	69	70	18	12	11
ENST00000472643	1	1				
ENST00000472644	101	101	65	16	9	23
ENST00000472647	12	30	13	5	4	4
ENST00000472651	7496	5664	3836	822	751	734
ENST00000472660	1					
ENST00000472663	8	6	5			
ENST00000472684	6	3	3	1	1	1
ENST00000472695	15	8	5	1		1
ENST00000472700		1	2		1	
ENST00000472701	1		1		1	
ENST00000472705	2	1	1	1		1
ENST00000472709	6	4	4	1		1
ENST00000472710	95	53	31	17	10	5
ENST00000472716		1				
ENST00000472726	801	608	471	222	198	145
ENST00000472731	466	418	175	122	52	67
ENST00000472739	22	16	5	2	1	
ENST00000472742	119	82	54	22	13	15
ENST00000472745	938	700	466	116	146	138
ENST00000472747	1	2	1			
ENST00000472750	25	16	8	1		1
ENST00000472757	1	1				
ENST00000472765	3345	2387	1568	250	240	219
ENST00000472768		4		2	1	
ENST00000472769	7	1	5	1	1	1
ENST00000472778	1085	660	521	303	277	210
ENST00000472792	8	8	3	2		
ENST00000472795			3	1		1
ENST00000472796	37	30	19	3	2	5
ENST00000472798	60	43	20	4	2	10
ENST00000472823	1	1				
ENST00000472826		1		1		
ENST00000472827	53	38	22	3	6	2
ENST00000472832	52	62	46	25	24	30
ENST00000472837	103	111	86	67	50	57
ENST00000472852	9	5	4	1		
ENST00000472870		1	1			
ENST00000472876	75	65	54	26	21	14
ENST00000472879		2		1		
ENST00000472884					1	2
ENST00000472889	8	10	14	15	5	13
ENST00000472896	12	2	4		1	
ENST00000472902	1	3		1	2	
ENST00000472914	3	7	7	1	1	1
ENST00000472925	1			2		1
ENST00000472932		1	2	2	2	2
ENST00000472940	346	296	220	110	97	141
ENST00000472944	58	25	23	2	1	1
ENST00000472947	4786	3386	2543	500	379	406
ENST00000472951	3		8	5		3
ENST00000472967	1	2				1
ENST00000472977	1	2	1			1
ENST00000472991	144	70	52	5	1	3
ENST00000472998			2			
ENST00000473000		1	1			
ENST00000473005	21	6	3	2		2
ENST00000473015	59	45	59	40	29	42
ENST00000473029	1					
ENST00000473032	1					
ENST00000473040	14	5	7	7	5	3
ENST00000473045	2					
ENST00000473053					1	
ENST00000473063	196	221	225	189	166	119
ENST00000473072		1				
ENST00000473086	28	31	16	7	3	9
ENST00000473092	19	17	24	12	8	15
ENST00000473093	12	5	5	4	3	2
ENST00000473112	49	19	25	4	7	9
ENST00000473118	302	230	162	27	12	37
ENST00000473122	1					
ENST00000473124	2	2	2		1	
ENST00000473127	35	32	26	9	7	3
ENST00000473129	5	1	4	1		
ENST00000473142	1	2	1	1		1
ENST00000473143		1	2	1		1
ENST00000473153	5	2	2			
ENST00000473166	9	6	5	2		
ENST00000473172	49	36	27	5	6	2
ENST00000473174	1		1			
ENST00000473183	222	235	215	114	85	106
ENST00000473195	13	11	7	1	5	4
ENST00000473215	3	6				
ENST00000473233	7	4	5	6	2	2
ENST00000473246	13	7	10	1	1	1
ENST00000473247	242	133	129	17	13	30
ENST00000473251				4		
ENST00000473252	1		1			
ENST00000473257	15807	11972	7470	409	168	389
ENST00000473262	3	3			2	
ENST00000473263						1
ENST00000473273	1	1				
ENST00000473276	15	5	13	5	1	2
ENST00000473280	3	2		4	1	3
ENST00000473282	134	120	87	51	46	36
ENST00000473284	3	1	1	1		1
ENST00000473285	38	35	36	8	6	5
ENST00000473287	16	14	22	21	13	15
ENST00000473294	223	179	88	34	23	15
ENST00000473312	47	28	33	13	8	22
ENST00000473314	18	27	27	15	17	8
ENST00000473318		3	3			1
ENST00000473337		5	2	3		4
ENST00000473339	53	34	29	17	6	12
ENST00000473341	31	18	18	3	3	2
ENST00000473345		2				
ENST00000473363	300	208	165	25	16	24
ENST00000473364	18	19	8	6		3
ENST00000473381	1	1				
ENST00000473382	10	13	13	8	4	3
ENST00000473389	49	41	30	14	9	10
ENST00000473413	8	3	10			
ENST00000473414	108	78	56	6	9	10
ENST00000473421	42	42	32	7	7	7
ENST00000473425	4	4	1	2		
ENST00000473435	7	7	4	5	2	5
ENST00000473444	146	117	80	19	19	16
ENST00000473453	432	342	225	35	19	26
ENST00000473456	178	83	70	8	9	7
ENST00000473459	394	366	201	45	31	45
ENST00000473463	2					
ENST00000473464	88	60	49	19	19	9
ENST00000473466	96	65	46	7	4	17
ENST00000473487	7	12	9	5	1	2
ENST00000473494	29	13	9	1	1	3
ENST00000473505	12	7	1	2		
ENST00000473512	8	12	19	8	6	9
ENST00000473519	23	27	26	9	7	5
ENST00000473524	3	1	3			1
ENST00000473527	137	97	57	15	4	11
ENST00000473532	21	7	12	5	3	8
ENST00000473533	7	8	6	4		2
ENST00000473546	5	3	8			
ENST00000473553			1			
ENST00000473555	7	7	2			
ENST00000473559	2		2			
ENST00000473578	58	45	22	4	4	5
ENST00000473588	17	8	7	2	4	3
ENST00000473598	774	562	386	202	122	170
ENST00000473616			2		4	1
ENST00000473624	1	4	5	1	1	3
ENST00000473637	81	49	35	17	10	24
ENST00000473645	365	280	230	145	65	126
ENST00000473651	196	204	138	89	59	61
ENST00000473654	126	65	66	14	4	11
ENST00000473656	10	12	7		1	2
ENST00000473661	2		7	4	1	
ENST00000473663	8	3	1			
ENST00000473664	2	2	2	1		1
ENST00000473667	83	64	32	1	7	4
ENST00000473688	7	4	5	1		
ENST00000473699	138	68	45	7	2	4
ENST00000473702	45	21	31	4	2	1
ENST00000473706	104	97	66	23	15	18
ENST00000473710	130	121	70	23	16	19
ENST00000473717	1					
ENST00000473730		1				
ENST00000473731	240	218	158	85	69	70
ENST00000473745	13	15	10	7	4	5
ENST00000473751		2		1		
ENST00000473758	25	30	37	22	21	23
ENST00000473763	1					
ENST00000473779	4	5	2	1		
ENST00000473781	137	116	79	39	31	24
ENST00000473782	6	7	17	10	5	4
ENST00000473783	2		2			
ENST00000473787	1	1				1
ENST00000473802	8	7	6	4		5
ENST00000473807	9	6	5	2		
ENST00000473814	46	20	23	3	13	6
ENST00000473835	594	478	376	114	119	85
ENST00000473842	45	32	22	2	4	1
ENST00000473856	2	1	2	4	2	
ENST00000473858	22	33	19	10	6	2
ENST00000473869	459	343	222	39	26	53
ENST00000473884		2		1		
ENST00000473892	1		2			2
ENST00000473907	1					
ENST00000473939	7	8	4	4		3
ENST00000473940	14	7	1	4	1	1
ENST00000473942	129	97	73	10	24	10
ENST00000473949	880	710	489	57	36	62
ENST00000473950	4	1	1	2	2	
ENST00000473961	7	6	9	3		2
ENST00000473968	7	9	3	6	3	3
ENST00000473969	26	24	30	10	15	7
ENST00000473974	8	13	13	1	7	1
ENST00000473981	3			2	2	3
ENST00000473989	38	63	49	22	27	18
ENST00000473997	131	118	83	24	18	19
ENST00000474012	32	27	26	6	2	5
ENST00000474018	1	1				
ENST00000474024	1822	1342	837	373	303	277
ENST00000474035	15	12	6	6	5	4
ENST00000474037	21	38	35	20	10	15
ENST00000474039	2					
ENST00000474047	21	14	16	7	5	2
ENST00000474052		2		1		
ENST00000474053	5	11	10	1	6	1
ENST00000474057	2	2	4	1	1	3
ENST00000474086	94	87	63	35	29	19
ENST00000474089	12	11	22	4	8	11
ENST00000474096		1				
ENST00000474112	134	115	128	66	45	43
ENST00000474119	6	1	3	1	2	1
ENST00000474120	79	65	57	3	7	5
ENST00000474124	31	21	23	3	5	8
ENST00000474125			1	1	2	2
ENST00000474126	4	14	7	12	5	5
ENST00000474128			1	1		
ENST00000474130	2		1			
ENST00000474131	4	6	7	2		4
ENST00000474141	415	386	214	46	31	46
ENST00000474159	81	68	52	11	17	17
ENST00000474165	3	1	8	4	1	5
ENST00000474178	38	13	22	9	12	8
ENST00000474190	31	37	34	29	16	22
ENST00000474194		2	1		2	
ENST00000474199	1	5	5	3	2	1
ENST00000474203	125	141	146	135	110	74
ENST00000474214	3		1			1
ENST00000474226	115	70	57	29	14	26
ENST00000474230	103	89	48	8	1	6
ENST00000474231			1			
ENST00000474237			1	3	2	
ENST00000474263	57	34	25	3	2	3
ENST00000474270	2	5	6	5	6	4
ENST00000474279	4	1	1			1
ENST00000474289	137	115	79	21	4	5
ENST00000474295	4	7	8	1	1	2
ENST00000474305	3	3			1	
ENST00000474308	63	41	24	8	4	7
ENST00000474315	408	326	227	26	21	21
ENST00000474345	132	85	67	12	5	5
ENST00000474348	4	5	2			1
ENST00000474359	5	5	10	9	5	5
ENST00000474360		4	3		2	
ENST00000474361	296	188	196	104	80	84
ENST00000474362	7	2				
ENST00000474371	90	64	50	8	5	4
ENST00000474374	6	4	5		1	1
ENST00000474375	11	12	8	6	7	7
ENST00000474377	146	74	51	7	2	5
ENST00000474378	93	102	146	78	41	55
ENST00000474384	133	92	56	5	2	3
ENST00000474393	65	52	68	42	33	31
ENST00000474397					1	
ENST00000474417	15	14	3			1
ENST00000474423	15	8	6	1	1	1
ENST00000474429	5	1	2			
ENST00000474448	3	4	3		1	3
ENST00000474451	7	5	5	2	2	2
ENST00000474453	4	6	7	5	5	1
ENST00000474455	51	35	15	9	4	2
ENST00000474463				2		
ENST00000474464		1				
ENST00000474509		1	1			1
ENST00000474510		2	2			
ENST00000474513	14	19	25	8	1	4
ENST00000474522	5	7	11	2		2
ENST00000474524	53	52	70	66	45	50
ENST00000474532	16	13	17	13	8	11
ENST00000474541	6	6	10	5	3	3
ENST00000474559		2			1	2
ENST00000474568	2080	1468	1072	133	101	89
ENST00000474576	492	371	267	84	77	66
ENST00000474584	7	7	12	5	4	8
ENST00000474588	45	33	15	1	1	6
ENST00000474594	124	76	66	15	13	11
ENST00000474597	1157	786	508	164	129	140
ENST00000474602	1	4	1	1	1	
ENST00000474606	73	99	110	157	89	158
ENST00000474617	15	13	6	7	4	4
ENST00000474619	63	29	23	9	4	2
ENST00000474627	35	21	7	3	1	6
ENST00000474629	157	153	98	32	28	29
ENST00000474658	39	15	16	2	3	3
ENST00000474660	2			1		2
ENST00000474663	1	1	1			2
ENST00000474670	63	66	58	6	7	1
ENST00000474678				1		1
ENST00000474714	1	2	1			
ENST00000474716	14	10	10	2		5
ENST00000474717	131	115	84	38	25	35
ENST00000474723			1	2		
ENST00000474756	1		1			
ENST00000474759		1	1	1	2	
ENST00000474765	576	437	262	59	36	39
ENST00000474766	4	2	5	8	10	8
ENST00000474770	13	11	16	1	5	9
ENST00000474774	1	1	2		2	
ENST00000474781	59	73	56	30	35	24
ENST00000474796	114	71	72	69	44	41
ENST00000474801	1	1	1			
ENST00000474804	3	5				
ENST00000474809	36	42	40	31	19	16
ENST00000474815	26	18	12	2	3	2
ENST00000474817	37	39	37	24	12	15
ENST00000474839	5	10	1		1	1
ENST00000474840	4	3		1	1	
ENST00000474844	51	25	30	7	5	3
ENST00000474850	1					
ENST00000474859	22	15	8	1		1
ENST00000474861	36	21	20		1	
ENST00000474866	939	794	467	90	70	72
ENST00000474868	16	9	9	1	4	2
ENST00000474874	2	6	1	2	2	2
ENST00000474879	38	13	23	2	3	8
ENST00000474884	33	25	16	1	3	7
ENST00000474887	5	3	3	6	2	2
ENST00000474889	15	15	21	18	11	9
ENST00000474890	98	65	50	8	3	5
ENST00000474897	4	5	6	3	2	2
ENST00000474903	107	74	53	18	15	16
ENST00000474904	43	42	48	31	26	16
ENST00000474918	1	1	1	2		
ENST00000474927				1	1	
ENST00000474928			2			
ENST00000474931	14	7	1	4	1	1
ENST00000474948			1			
ENST00000474949	1		1		2	1
ENST00000474953	60	46	45	29	35	19
ENST00000474957			1	2	1	1
ENST00000474958			1			1
ENST00000474964	470	425	181	124	52	70
ENST00000474967		1	1	1		
ENST00000474973	429	359	175	48	15	33
ENST00000474980			1			
ENST00000475004	3	6	12	1		
ENST00000475038	10	6	6	1		2
ENST00000475040	11	12	8	14	9	11
ENST00000475042	1					1
ENST00000475050	1					
ENST00000475053	4	4	4			1
ENST00000475055	33	28	27	12	18	5
ENST00000475056	199	168	106	6	8	11
ENST00000475057	7	9	10	2	2	3
ENST00000475060	16	9	5		1	1
ENST00000475075	6	2	4		1	1
ENST00000475079	29	24	13	2	1	1
ENST00000475086				3		
ENST00000475087	4	4		1		
ENST00000475091	9	25	5	1	5	3
ENST00000475092	40	33	20	1		4
ENST00000475106		2				
ENST00000475108	169	136	88	15	10	8
ENST00000475111	130	108	69	2	6	6
ENST00000475119						1
ENST00000475125	17	12	12	4	5	11
ENST00000475126	109	88	67	14	13	13
ENST00000475132				1		
ENST00000475133	41	47	23	9	12	12
ENST00000475134	33	32	29	19	8	17
ENST00000475147	7	5	2			2
ENST00000475153	70	51	52	27	10	18
ENST00000475157		3				3
ENST00000475162	12	11	11	2	2	3
ENST00000475164		1				
ENST00000475178	2	2	4	3	2	
ENST00000475179	19	34	28	18	9	14
ENST00000475204	3	2	3	3	2	1
ENST00000475228	14	16	10	11	7	7
ENST00000475243	1799	1568	822	176	151	148
ENST00000475248	114	73	69	5	5	6
ENST00000475252						1
ENST00000475264	3	6	5	3	1	2
ENST00000475268	23	12	9			
ENST00000475269				3	4	
ENST00000475272	2	2	1			
ENST00000475276	31	21	13	1		4
ENST00000475277	1	1		1		1
ENST00000475278	304	291	174	90	84	56
ENST00000475279			1			
ENST00000475282	22	16	5	2	1	
ENST00000475283			1			
ENST00000475287	9	9	5	4	1	6
ENST00000475296	47	36	21	7	8	5
ENST00000475298	6	11	2	2	4	2
ENST00000475304	130	120	78	33	24	28
ENST00000475315	104	79	47	29	20	17
ENST00000475321	30	26	11	3	3	2
ENST00000475322	619	416	275	43	30	32
ENST00000475323	1	2	1	1		
ENST00000475326	5	1	7	2	2	2
ENST00000475329	2			4	3	1
ENST00000475336	21	18	15	16	23	8
ENST00000475343	2	1	1	3	1	1
ENST00000475350	1	3	5			
ENST00000475351	52	20	22	10	7	4
ENST00000475359				1		
ENST00000475360	53	46	29	11	4	11
ENST00000475361		1				
ENST00000475364	6	6	6	2	3	3
ENST00000475377	17	20	25	12	8	10
ENST00000475381	23	12	17			1
ENST00000475407	9	5	9	6	2	4
ENST00000475412	2			1		2
ENST00000475420	27	18	14	2		
ENST00000475435	2	7	6	2	3	1
ENST00000475449	262	207	163	150	106	167
ENST00000475458	3832	3143	1952	309	275	237
ENST00000475459	31	23	14	4	3	1
ENST00000475460	18	8	9	2	2	2
ENST00000475462	90	53	36	9	8	8
ENST00000475463			4	4	2	2
ENST00000475465	29	18	17	2		
ENST00000475479						1
ENST00000475482	316	205	146	71	33	41
ENST00000475483	38	21	15			4
ENST00000475490			1			
ENST00000475501	18	15	13	9	5	6
ENST00000475514	4	1	4			1
ENST00000475516	5	7	1	5	2	
ENST00000475518	346	241	166	19	14	27
ENST00000475529	3	1		4	1	2
ENST00000475551	27	22	16	8	7	8
ENST00000475573	924	519	364	24	13	29
ENST00000475576	22	25	15	8	14	5
ENST00000475587			2	1		1
ENST00000475622	871	654	484	127	78	130
ENST00000475629			4	1		
ENST00000475652	1		1			
ENST00000475656	10	7	3		1	
ENST00000475675		2	1			
ENST00000475677	2	2				
ENST00000475699	42	22	23	10	6	7
ENST00000475719	16	12	9	22	5	8
ENST00000475723	6	8	6	7	3	6
ENST00000475729	34	29	22	3	1	3
ENST00000475733	103	109	59	55	36	37
ENST00000475734			2			
ENST00000475741	7	9	5	2	1	1
ENST00000475743	28	23	17	17	11	5
ENST00000475746	1	1	2			
ENST00000475757	49	23	25	8	10	8
ENST00000475762	101	78	40	4		1
ENST00000475779						1
ENST00000475781	2	2	1			2
ENST00000475785	2	4	3	3	1	
ENST00000475786	12	14	17	1	3	2
ENST00000475798		1				
ENST00000475805	38	27	25	23	7	27
ENST00000475807		1				
ENST00000475814	6	2	2			
ENST00000475824	22	13	10	1		
ENST00000475829	14	5	6	3	2	5
ENST00000475834	3	13	7	3	1	6
ENST00000475836	87	103	45	9	4	13
ENST00000475842	12	24	14	8	3	7
ENST00000475846	19	25	20	18	9	10
ENST00000475851	28	31	18	15	10	13
ENST00000475866	2	3	2	2	1	3
ENST00000475880	7	12	11	1	6	1
ENST00000475881	2	2	1		1	1
ENST00000475884			2			
ENST00000475890	49	74	98	53	55	45
ENST00000475892	76	60	45	24	19	17
ENST00000475893	15	7	5	6	4	11
ENST00000475894	25	19	14	10	6	9
ENST00000475903		2		1	1	2
ENST00000475915	364	280	230	145	65	126
ENST00000475930	3	8	5	1	1	1
ENST00000475937	37	38	38	25	9	14
ENST00000475942	36	19	21	4	1	3
ENST00000475945	110	57	53	16	5	18
ENST00000475958		1		1		2
ENST00000475969	4	3		2		1
ENST00000475972	1			1		1
ENST00000475977	3	2	3		1	
ENST00000475982		3		1		
ENST00000475990	49	53	45	43	39	31
ENST00000475993	153	143	140	76	72	74
ENST00000475995	8	3	1	2	2	1
ENST00000475996	1	4	1		1	1
ENST00000475997	654	547	343	77	84	71
ENST00000476004	1	6	2	4	4	2
ENST00000476006	2	1				
ENST00000476007	2			1		2
ENST00000476038	70	48	26	2	1	4
ENST00000476042	3	1	2		1	
ENST00000476044	45	32	25	4	6	4
ENST00000476056	6	3	8	2	7	4
ENST00000476058	1	5	2	3		1
ENST00000476065	38	36	25	8	10	6
ENST00000476071	269	154	119	51	28	28
ENST00000476103	54	29	21	3	2	3
ENST00000476111	210	183	127	52	35	55
ENST00000476120	12	12	5	2	2	3
ENST00000476133	1331	1038	663	334	175	262
ENST00000476134	2	2	1			
ENST00000476139	129	77	75	40	25	30
ENST00000476143	67	56	30	11	10	6
ENST00000476151	16	5	9		1	3
ENST00000476158	3	3	1			
ENST00000476161	1803	1620	957	348	243	333
ENST00000476167		1				
ENST00000476170		4		1		
ENST00000476171	2	1				
ENST00000476176	243	167	144	32	13	12
ENST00000476177	2	2	1		2	
ENST00000476181	29	27	14		6	3
ENST00000476183	1		2	2		
ENST00000476184	1					1
ENST00000476188	36	15	21	3	3	1
ENST00000476198			1	3		2
ENST00000476201	354	264	188	29	13	40
ENST00000476217	718	532	381	33	15	21
ENST00000476228	60	43	33	10	2	8
ENST00000476229	8	8	11	4	4	5
ENST00000476237	1145	881	515	229	161	200
ENST00000476238	36	14	14	6	3	2
ENST00000476243	1		3			
ENST00000476246	10	13	5	5		1
ENST00000476247	13	9	9	4	1	3
ENST00000476251	3	4	1	2	2	2
ENST00000476258	1610	1108	691	39	27	35
ENST00000476260					1	1
ENST00000476263	42	24	22	4	2	2
ENST00000476279	295	218	127	14	19	25
ENST00000476286	18	14	12	4	3	2
ENST00000476287	286	237	158	40	21	39
ENST00000476295	13	12	16	3	5	4
ENST00000476296	15	12	6	6	5	4
ENST00000476315	2	13	8	21	15	18
ENST00000476320	4	1	1	1		1
ENST00000476323	25	20	22	11	12	8
ENST00000476351	40	30	20	4	2	6
ENST00000476352	201	196	210	186	140	116
ENST00000476364	6	10	3	9	2	7
ENST00000476371	122	87	69	13	12	6
ENST00000476379	1					
ENST00000476384	80	66	84	23	34	15
ENST00000476412	81	67	39	9	3	15
ENST00000476419	65	43	29	20	11	22
ENST00000476423	96	58	34	13	3	6
ENST00000476451	255	235	136	33	38	28
ENST00000476462	37	25	21	16	9	9
ENST00000476465	21	15	20	6	3	2
ENST00000476468	409	384	226	123	76	99
ENST00000476470	15	8	5	1		1
ENST00000476484			3	1	1	
ENST00000476491	15	19	28	14	9	12
ENST00000476493	237	174	92	27	22	15
ENST00000476496	2	5	2	1		1
ENST00000476503	1		1			
ENST00000476505	4		1	3		
ENST00000476512	4	3	2			1
ENST00000476527	62	66	76	44	53	43
ENST00000476529	30	18	23	15	9	7
ENST00000476535	70	57	27	1		4
ENST00000476545	2790	2082	1459	309	180	172
ENST00000476549	2	3	2	1	1	1
ENST00000476555	17	19	5	3	4	1
ENST00000476556	67	45	55	26	30	20
ENST00000476558	1			3	1	
ENST00000476573	18	18	4	1		1
ENST00000476574			1			
ENST00000476581	164	133	66	35	26	17
ENST00000476605	44	36	31	17	18	7
ENST00000476613	16	8	4	2	1	
ENST00000476620	10	3	3	1	2	
ENST00000476622	270	219	138	26	11	42
ENST00000476625	50	37	25	17	21	5
ENST00000476627	4	3	6	2		2
ENST00000476632	24	11	14	5	3	2
ENST00000476646	35	28	15	16	15	14
ENST00000476658	49	27	23	10	3	4
ENST00000476665	68	87	77	55	36	33
ENST00000476670	1	1				
ENST00000476671	125	141	146	135	110	74
ENST00000476687	9	8	12	14	14	4
ENST00000476688	63	44	52	26	22	27
ENST00000476696	17	14	4	3	3	2
ENST00000476697	1	1		2		1
ENST00000476702	2	2	1	1		
ENST00000476722		2	1			1
ENST00000476728	3	10	7	1	5	1
ENST00000476740				1		
ENST00000476743	3	1	2			
ENST00000476756	93	69	64	36	25	35
ENST00000476758	20	16	13	11	6	6
ENST00000476760	3	5	1			1
ENST00000476762	4	6	13	1	1	2
ENST00000476766	9	12	5		1	2
ENST00000476773	282	264	212	89	63	59
ENST00000476777	9	6	7	1	1	4
ENST00000476781	258	209	117	23	15	27
ENST00000476806	12	11	7	1	3	2
ENST00000476808	19	10	6	13	8	4
ENST00000476809	1	2	3		3	1
ENST00000476818					1	
ENST00000476832	69	36	38	6	13	9
ENST00000476840	204	145	95	29	18	22
ENST00000476842	40	48	25	1	2	8
ENST00000476843	7	6	2	2	1	2
ENST00000476844	2		3		1	
ENST00000476854	34	26	17	4	2	6
ENST00000476858	80	51	37	13	9	13
ENST00000476864	67	48	25	3	6	6
ENST00000476869		3		1	1	
ENST00000476873	579	382	263	62	35	42
ENST00000476899	292	280	163	74	78	55
ENST00000476905	134	75	47	5	6	12
ENST00000476907	96	97	47	13	17	31
ENST00000476916	302	202	129	25	24	29
ENST00000476927	5	4	5	8	1	5
ENST00000476931	1948	1576	858	185	266	144
ENST00000476935	1833	1206	991	198	138	230
ENST00000476941	26	12	17	14	12	13
ENST00000476946	18	27	26	15	18	12
ENST00000476949	11	7	1	2	1	
ENST00000476950	71	50	34	6	4	2
ENST00000476977	76	69	59	48	27	18
ENST00000476978	85	55	41	8	3	8
ENST00000476993	8	6	4		1	
ENST00000476995				1		
ENST00000477003	16	9	3	1		
ENST00000477006	14	12	12	10	3	6
ENST00000477012	61	61	30	5	3	6
ENST00000477024		1	1	1	2	
ENST00000477030	42	24	27			1
ENST00000477031				1		
ENST00000477034	20	15	20	5	7	5
ENST00000477042	141	80	60	10	9	18
ENST00000477053	7	3	6	1	1	
ENST00000477060	6	3				
ENST00000477070	3	2	9	5		1
ENST00000477084	2	2	1		1	
ENST00000477092	18	14	13	5	3	2
ENST00000477104	25	9	16	11	4	6
ENST00000477108	225	153	106	46	25	45
ENST00000477116	35	32	26	9	7	3
ENST00000477119	75	60	40	14	14	13
ENST00000477127	6	11	2	2	4	2
ENST00000477152	32	33	22	8	9	8
ENST00000477162	1	5	9	4	3	
ENST00000477163	16	18	17	14	2	
ENST00000477186	22	23	12	6	3	1
ENST00000477196					1	
ENST00000477203	6	4	4	3		4
ENST00000477224	1					
ENST00000477237	22	19	17	13	3	6
ENST00000477258	26	39	18	10	2	8
ENST00000477270	27	21	17	4	4	7
ENST00000477279	3	1				
ENST00000477282	36	35	23	7	8	3
ENST00000477292	25	12	16	31	19	14
ENST00000477299	46	34	17	2	1	2
ENST00000477305	2	1		2		2
ENST00000477308	2	2	1			
ENST00000477310	2	1			1	
ENST00000477313				1	2	
ENST00000477344	3	6	4	2		
ENST00000477346			1			
ENST00000477358			2			
ENST00000477367	2	2	1		1	
ENST00000477382	1					
ENST00000477386	48	39	28	4	4	3
ENST00000477391	859	547	352	112	90	117
ENST00000477393	53	51	26	2	3	6
ENST00000477394	69	56	56	5	9	7
ENST00000477399	1		1			
ENST00000477432	10	8	4	1	1	1
ENST00000477442	1436	1095	809	125	89	83
ENST00000477447	42	29	19	19	12	14
ENST00000477451	850	685	466	56	34	61
ENST00000477474	53	68	50	11	14	6
ENST00000477478		1				
ENST00000477522	228	182	129	25	19	19
ENST00000477535	13	15	10	7	4	5
ENST00000477548	4	2		2		1
ENST00000477551	31	32	11	5	2	1
ENST00000477557	3					
ENST00000477560	40	41	23	9	10	5
ENST00000477561	167	111	97	46	46	32
ENST00000477563	88	53	38	20	5	5
ENST00000477564	17	4	1		1	2
ENST00000477565	164	146	76	16	23	10
ENST00000477571	24	21	9	5	3	3
ENST00000477593	72	69	67	56	55	46
ENST00000477601	2	2	2	1	1	
ENST00000477603	4	2	3	1	1	2
ENST00000477616	3	6	8	6	2	1
ENST00000477620	101	93	106	36	20	40
ENST00000477647	1				1	1
ENST00000477660	3	2	4	10	5	10
ENST00000477663	7	9	3	6	3	3
ENST00000477665		1				1
ENST00000477668	157	169	94	125	46	58
ENST00000477679	3	9	12	10	8	11
ENST00000477683	6	8	6			
ENST00000477689	3		2	1		1
ENST00000477692	10	14	5	3		1
ENST00000477695	1			1		
ENST00000477703	96	94	52	4	5	15
ENST00000477708					2	1
ENST00000477712					1	
ENST00000477715			1			
ENST00000477719	18	14	12	5	3	2
ENST00000477724	1		3			
ENST00000477726	34	23	21	3	2	
ENST00000477738	153	96	68	15	3	14
ENST00000477742	1	2	1			
ENST00000477743	70	68	56	6	2	3
ENST00000477744		1				
ENST00000477755	1	1		1		
ENST00000477759	6	6	4	2	5	3
ENST00000477775	2		3	3	2	4
ENST00000477788	33	35	29	11	4	6
ENST00000477794	1	1			1	
ENST00000477813	155	107	81	70	34	53
ENST00000477833	7	3		3	1	1
ENST00000477847	44	39	18	8	4	2
ENST00000477853	427	351	277	41	27	44
ENST00000477871	11	9	6		3	2
ENST00000477876	22	18	28	10	5	11
ENST00000477889	43	26	30	1		1
ENST00000477890	167	189	110	42	26	38
ENST00000477892	577	295	189	32	28	8
ENST00000477894	3	6	1			
ENST00000477898	79	88	60	27	20	24
ENST00000477901			1			
ENST00000477902	102	81	76	41	29	19
ENST00000477909	3	1	8	4	1	5
ENST00000477914	145	117	75	28	16	18
ENST00000477925	687	453	352	68	74	71
ENST00000477930	7	8	2	4	2	3
