transcript	Control_rep1	Control_rep2	Control_rep3	LeuStarve_rep1	LeuStarve_rep2	LeuStarve_rep3
ENST00000448177	123	63	104	134	165	138
ENST00000448187	2767	2017	2811	2273	2994	1909
ENST00000448223	528	405	732	685	839	633
ENST00000448225	53	49	89	85	87	62
ENST00000448226	39	17	39	30	53	33
ENST00000448228	16	10	24	19	47	26
ENST00000448232	69	50	75	84	95	67
ENST00000448238	459	355	540	468	721	463
ENST00000448246	19	10	20	19	30	14
ENST00000448249	326	275	372	377	546	321
ENST00000448257	710	538	830	913	1119	756
ENST00000448268	52	36	82	74	86	68
ENST00000448276	358	278	400	391	510	325
ENST00000448279	14	15	24	23	16	7
ENST00000448281	161	125	180	168	225	165
ENST00000448282	1	1		1	1	
ENST00000448293	702	550	801	510	630	402
ENST00000448299	34	24	33	34	44	31
ENST00000448310	181	129	169	265	293	217
ENST00000448323	632	458	751	758	976	664
ENST00000448331	6	5	10	9	7	5
ENST00000448342		1		1		
ENST00000448372	154	116	152	190	217	156
ENST00000448382	10	8	16	13	25	18
ENST00000448384	7	2	12	22	16	10
ENST00000448387	20	14	27	22	37	24
ENST00000448392		2	1	2	1	1
ENST00000448395	225	171	287	182	265	180
ENST00000448404	115	82	170	146	198	137
ENST00000448405	21	17	38	25	45	24
ENST00000448409	3	1	6	4	2	2
ENST00000448410	6	4	7	12	6	6
ENST00000448413	65	44	55	60	65	49
ENST00000448416				1	2	
ENST00000448418	1	1	1	5	4	1
ENST00000448424	60	37	60	62	77	53
ENST00000448427	3	3	7	3	4	2
ENST00000448430	24	22	21	17	33	17
ENST00000448443	275	180	282	221	293	197
ENST00000448447	143	106	167	156	183	96
ENST00000448451	46	39	41	30	42	28
ENST00000448461	103	105	163	160	197	167
ENST00000448464	29	18	21	80	75	43
ENST00000448469	61	64	67	67	81	52
ENST00000448471	6	4	9	3	4	3
ENST00000448472			1		3	
ENST00000448480	4	4	3	9	7	10
ENST00000448481	18	18	26	46	37	23
ENST00000448482	198	182	281	340	433	267
ENST00000448492	109	99	142	108	145	114
ENST00000448493	57	39	50	66	83	75
ENST00000448496	2	1	3	8	14	6
ENST00000448498						1
ENST00000448504	5	6	3	8	14	4
ENST00000448507	40	35	41	40	64	42
ENST00000448511	12	11	30	23	32	22
ENST00000448514				1		
ENST00000448516	122	96	138	143	181	139
ENST00000448519	304	189	310	330	387	272
ENST00000448521	656	541	766	879	994	774
ENST00000448526	25	16	20	23	34	15
ENST00000448528	226	178	277	217	314	208
ENST00000448530	2324	1722	2790	2529	3263	2101
ENST00000448539	59	45	48	73	90	61
ENST00000448549	225	141	235	239	319	276
ENST00000448551	62	38	55	51	63	45
ENST00000448552	60	45	83	121	148	114
ENST00000448563	5	5	7	12	13	9
ENST00000448584						1
ENST00000448593	400	267	429	370	477	288
ENST00000448602	10	10	7	13	29	16
ENST00000448611	535	457	655	583	739	460
ENST00000448612	11	7	14	12	17	7
ENST00000448616				1	2	1
ENST00000448631	169	144	183	177	201	138
ENST00000448637	2	2	4	3	2	2
ENST00000448666	274	222	327	190	219	144
ENST00000448667	2	2	5	4	7	5
ENST00000448723	1	1	1		1	
ENST00000448733	391	313	512	535	592	458
ENST00000448741	3	4	5	6	4	4
ENST00000448745	288	198	328	252	306	234
ENST00000448752	2044	1471	2244	1992	2806	1813
ENST00000448770	12	12	17	21	16	26
ENST00000448775	1	4	1	3	7	2
ENST00000448782	194	160	276	275	357	266
ENST00000448787	157	141	201	122	139	101
ENST00000448789	45	35	63	78	77	67
ENST00000448790	242	162	231	207	272	192
ENST00000448803	74	62	83	111	152	86
ENST00000448810	32	32	28	38	52	39
ENST00000448814	2	4	4	8	9	6
ENST00000448823	14	10	12	18	12	12
ENST00000448828	1			1	2	
ENST00000448830	238	178	284	349	470	297
ENST00000448838	601	422	619	731	832	565
ENST00000448841	31	26	30	36	40	25
ENST00000448843	6		1		1	
ENST00000448849	8	9	12	6	10	5
ENST00000448864	526	460	626	314	287	248
ENST00000448866				4	2	2
ENST00000448867	147	110	132	165	211	139
ENST00000448872	61	34	51	66	59	37
ENST00000448874	8964	7731	10644	7054	7351	8341
ENST00000448876	5	1	2	6	8	4
ENST00000448878	594	438	699	839	916	760
ENST00000448880	583	405	698	641	704	474
ENST00000448884	1	1	4	4	12	5
ENST00000448885					1	1
ENST00000448890	52	51	73	86	98	65
ENST00000448903	178	160	211	199	248	173
ENST00000448905	5085	3920	5711	5449	6752	4526
ENST00000448928	39	21	40	44	49	38
ENST00000448933	609	508	712	720	928	621
ENST00000448935	190	125	207	216	243	188
ENST00000448943	15	3	13	11	10	6
ENST00000448950		1		1		1
ENST00000448951	182	131	208	208	270	145
ENST00000448962	1335	1260	1952	992	1184	1015
ENST00000448981	166	131	217	199	266	156
ENST00000448984			1		1	
ENST00000448997	2	1	1	1	7	3
ENST00000449022	63	61	101	99	115	89
ENST00000449045	212	168	254	227	258	162
ENST00000449047	4	1		2		
ENST00000449049	1313	993	1527	2010	2261	1631
ENST00000449050	5	2	6	6	6	3
ENST00000449058	319	231	333	345	433	336
ENST00000449070	117	114	131	108	135	85
ENST00000449079			2	2	4	
ENST00000449080	604	462	613	687	782	565
ENST00000449081	175	119	175	160	210	136
ENST00000449085	2718	1998	2938	2078	2645	1997
ENST00000449089	245	156	247	313	343	249
ENST00000449090	62	51	77	71	102	68
ENST00000449094	3		3	2	1	1
ENST00000449103	75	53	97	120	159	109
ENST00000449105	143	131	202	136	154	106
ENST00000449107	45	36	57	64	77	64
ENST00000449131	1			2	4	6
ENST00000449132		1				
ENST00000449135	12	8	16	13	11	16
ENST00000449141	1347	1012	1370	1460	1542	1091
ENST00000449182	3	8	7	5	11	6
ENST00000449184	4	4	5	6	4	3
ENST00000449187	2282	1641	2376	2407	2819	1740
ENST00000449191	16	8	15	13	22	12
ENST00000449193	9	2	4	9	8	9
ENST00000449194	186	159	232	226	271	205
ENST00000449205	22	16	22	15	20	4
ENST00000449207		1		2		
ENST00000449221	17	16	22	22	18	13
ENST00000449224	1294	796	1170	564	783	472
ENST00000449228	1	1	4	7	11	6
ENST00000449237	18	12	24	27	31	19
ENST00000449241	6	1	5	6	10	9
ENST00000449244	5	5	3	6	12	6
ENST00000449246	66	43	59	94	111	82
ENST00000449247	628	459	798	822	1026	653
ENST00000449250	27	31	47	48	59	56
ENST00000449260			2	3	3	1
ENST00000449261	135	138	168	155	206	139
ENST00000449277	88	51	84	89	106	58
ENST00000449279	1224	900	1430	1603	1974	1305
ENST00000449285	15	14	14	22	25	22
ENST00000449291	12	19	21	19	13	12
ENST00000449296	12	9	11	7	19	7
ENST00000449297	386	246	357	491	679	417
ENST00000449299	6	5	2	4	4	3
ENST00000449301	61	45	73	69	74	59
ENST00000449309	36	13	26	38	54	36
ENST00000449313	89	56	71	91	111	64
ENST00000449319	4	6	10	6	6	
ENST00000449321	5	2	2	3	6	3
ENST00000449337	12	4	1	2	8	5
ENST00000449352	61	49	67	52	77	52
ENST00000449354	899	691	1034	1181	1422	1018
ENST00000449359	186	154	228	181	229	150
ENST00000449367	34	27	44	59	104	39
ENST00000449372	7	5	3	10	10	6
ENST00000449376	721	559	859	950	1176	757
ENST00000449378			3	1	5	
ENST00000449395	35	27	29	37	51	53
ENST00000449406	7	6	4	5	6	3
ENST00000449407			2	1		
ENST00000449416	1	4	4	2	4	2
ENST00000449428	549	549	679	713	791	588
ENST00000449459	5		3	10	7	3
ENST00000449470	2631	1970	3206	1505	1634	1150
ENST00000449471	521	329	538	525	685	576
ENST00000449476	31	24	36	47	54	35
ENST00000449478	19	17	21	14	9	16
ENST00000449489	5	10	14	7	9	8
ENST00000449493	4	4	2	3	7	3
ENST00000449502	227	136	272	336	398	329
ENST00000449503	120	98	141	102	123	90
ENST00000449508	9	11	9	12	14	13
ENST00000449510	73	47	76	73	103	75
ENST00000449538	5963	4490	5992	9160	10439	8856
ENST00000449549	1		1			
ENST00000449557	10	11	16	26	21	26
ENST00000449565	159	95	101	149	198	122
ENST00000449570	6	4	8	3	6	6
ENST00000449576	107	81	116	150	205	139
ENST00000449590	1		1	1	1	2
ENST00000449591					1	
ENST00000449592	93	94	134	163	172	134
ENST00000449599	4	5	12	12	16	4
ENST00000449606	184	137	199	159	222	152
ENST00000449610	1	2	5	9	14	8
ENST00000449617	9	8	7	14	24	14
ENST00000449636	10	16	21	14	16	9
ENST00000449640	13	17	16	27	36	22
ENST00000449651	21	13	22	34	44	24
ENST00000449653	170	139	191	237	240	215
ENST00000449676	23	18	26	17	39	17
ENST00000449682		1	1	3	2	1
ENST00000449683	1469	1214	1756	2069	2475	1975
ENST00000449692	88	75	95	97	106	94
ENST00000449699	1743	1298	2090	2369	2669	1805
ENST00000449707	60	47	82	65	88	56
ENST00000449723	332	298	442	345	417	262
ENST00000449726	57	37	55	72	93	54
ENST00000449732	86	55	110	78	112	59
ENST00000449733	98	70	119	124	157	111
ENST00000449739		3	1	5	3	2
ENST00000449740	227	161	281	233	270	206
ENST00000449758	81	66	82	129	176	114
ENST00000449759	146	112	110	141	146	80
ENST00000449762	56	35	73	81	85	56
ENST00000449767	261	175	278	258	276	196
ENST00000449771	2	1		2	2	
ENST00000449777			2	1	1	
ENST00000449784	11	5	18	20	25	11
ENST00000449792	3	2	1	2	1	3
ENST00000449793			1	2		1
ENST00000449796	57	39	50	66	83	75
ENST00000449802	52	28	46	36	59	30
ENST00000449803	128	113	175	159	236	143
ENST00000449821	220	162	274	186	200	140
ENST00000449822	89	79	119	132	177	113
ENST00000449825	257	221	334	308	325	234
ENST00000449836	8	9	12	23	23	15
ENST00000449844	4	2	2	4	3	4
ENST00000449850	236	184	280	341	374	285
ENST00000449862	15	16	18	12	21	17
ENST00000449880	3	2	3	3	3	
ENST00000449886	49	51	63	68	85	37
ENST00000449891	4	3	8	5	4	4
ENST00000449909	177	126	201	182	231	160
ENST00000449910	92	110	130	146	159	120
ENST00000449912	7	4	12	12	13	12
ENST00000449913	1377	1050	1482	1234	1572	1014
ENST00000449924	75	60	74	93	111	72
ENST00000449934	14	12	17	27	25	15
ENST00000449935	4315	2806	4109	4002	4968	2946
ENST00000449938	327	211	374	314	399	307
ENST00000449942	233	208	281	300	317	239
ENST00000449956					1	
ENST00000449970	8	11	12	18	30	9
ENST00000449971	11	9	25	30	31	12
ENST00000449981				1		
ENST00000449985					1	
ENST00000449996	10	2	9	3	8	7
ENST00000450006	20	25	28	30	48	37
ENST00000450008	159	143	233	148	205	144
ENST00000450019	37	29	42	70	80	61
ENST00000450023	580	429	667	723	846	626
ENST00000450036	93	63	115	98	91	98
ENST00000450038	233	179	274	312	340	206
ENST00000450045	2	2	2	6	12	7
ENST00000450046	73	61	79	112	105	83
ENST00000450050	28	33	42	26	34	26
ENST00000450053	29	23	60	67	60	35
ENST00000450056	26	16	29	52	56	34
ENST00000450066	315	228	363	263	406	246
ENST00000450067	15	25	27	18	28	26
ENST00000450092	7700	6141	9724	8052	10382	6885
ENST00000450093	3		5	3	1	6
ENST00000450095	16	6	17	19	21	10
ENST00000450102	10	11	17	27	22	27
ENST00000450114	295	276	317	475	519	358
ENST00000450115	1076	739	1199	960	1207	804
ENST00000450116	491	416	656	395	384	273
ENST00000450123	1	3	5	9	9	7
ENST00000450136	86	80	107	110	146	92
ENST00000450142	1000	769	1168	1128	1413	892
ENST00000450149	127	101	122	134	200	98
ENST00000450156	58	38	64	64	75	44
ENST00000450162	347	290	458	425	527	349
ENST00000450168	4	4	2	6	7	5
ENST00000450169	1062	770	1193	1299	1384	1031
ENST00000450171	4	4	6	6	8	2
ENST00000450178	7	6	10	15	12	7
ENST00000450185	1	1	1		1	
ENST00000450195	22	25	24	37	49	26
ENST00000450198	387	322	479	539	656	469
ENST00000450200	311	242	365	391	513	322
ENST00000450214	661	511	757	900	1140	693
ENST00000450241	135	90	153	192	234	143
ENST00000450251	60	37	73	56	91	54
ENST00000450253	588	469	768	542	721	478
ENST00000450256	398	322	380	403	591	345
ENST00000450269			1	1		
ENST00000450272	100	83	114	94	121	86
ENST00000450273	81	56	93	88	112	91
ENST00000450285	49	44	53	57	89	62
ENST00000450288	710	551	824	782	936	732
ENST00000450295	53	36	51	64	66	61
ENST00000450296	116	67	115	119	163	113
ENST00000450302	29	32	45	57	73	47
ENST00000450315		1	1	1	2	
ENST00000450331	42	32	53	48	56	47
ENST00000450333	130	103	126	165	220	142
ENST00000450361	98	73	101	78	119	88
ENST00000450363	503	398	536	779	859	627
ENST00000450366	182	131	208	208	270	145
ENST00000450383	35	32	31	30	47	39
ENST00000450385	6	7	8	13	14	10
ENST00000450388	1					
ENST00000450390	21	9	21	26	26	14
ENST00000450403	19	15	37	36	35	25
ENST00000450428	53	41	58	58	104	68
ENST00000450434		1		1		
ENST00000450444	19	21	35	22	48	31
ENST00000450446					1	
ENST00000450447	30	30	39	49	53	46
ENST00000450448	1	2	1	1	2	4
ENST00000450454	2	1			1	
ENST00000450460	358	262	429	382	527	359
ENST00000450471	1		1	4	2	
ENST00000450475	61	49	90	78	118	82
ENST00000450485	144	102	152	154	175	125
ENST00000450491	15	18	21	26	41	16
ENST00000450501	11	5	18	20	25	11
ENST00000450510	2	9	6	12	18	8
ENST00000450518	578	409	694	616	713	510
ENST00000450525	12	21	17	24	21	19
ENST00000450529	22	16	33	28	32	31
ENST00000450533	254	187	282	316	447	340
ENST00000450536	244	179	314	270	375	227
ENST00000450554	2673	2136	2940	3429	5157	3554
ENST00000450574	30	29	52	50	43	38
ENST00000450592	652	448	751	625	844	586
ENST00000450593	1		2		1	1
ENST00000450594	34	30	34	26	55	39
ENST00000450598	13	8	10	10	11	13
ENST00000450599	9221	6565	10084	5533	7582	5000
ENST00000450602	124	74	91	150	164	126
ENST00000450617	287	228	358	339	467	340
ENST00000450622	140	121	157	185	194	159
ENST00000450625	30	31	43	48	64	49
ENST00000450629	1	1	4	6	5	5
ENST00000450633	17	10	18	22	39	24
ENST00000450638	1		1	1		1
ENST00000450644	149	110	191	207	253	184
ENST00000450657	117	80	116	150	138	120
ENST00000450662			1		1	2
ENST00000450673	397	312	461	493	676	384
ENST00000450683	6	7	7	12	15	7
ENST00000450689	63	28	72	52	100	55
ENST00000450708	189	173	261	246	344	216
ENST00000450712					1	
ENST00000450716	7	3	5	3	7	4
ENST00000450723	1448	1108	1670	1497	1956	1183
ENST00000450733	26	16	35	40	36	28
ENST00000450735	109	97	149	163	201	154
ENST00000450743	3	3	4	5	5	1
ENST00000450756			1		2	1
ENST00000450761	13	13	16	37	42	22
ENST00000450764	164	128	192	179	226	146
ENST00000450765	5	4	7	6	14	6
ENST00000450791	356	326	418	334	481	321
ENST00000450808	307	249	358	324	406	285
ENST00000450814	34	16	28	24	29	26
ENST00000450816	66	45	65	92	101	108
ENST00000450824	144	132	200	200	295	193
ENST00000450829	16	13	21	18	40	27
ENST00000450845	33	25	47	71	84	55
ENST00000450852	109	89	166	145	175	167
ENST00000450873	170	129	216	162	244	205
ENST00000450877	8	9	13	22	24	8
ENST00000450879	343	237	350	200	237	189
ENST00000450894	3	2	3	3	3	
ENST00000450904	185	123	182	178	223	173
ENST00000450913		1		1		
ENST00000450923	5	2	3		4	2
ENST00000450926	145	136	200	143	207	127
ENST00000450929	1		1			
ENST00000450931	64	43	94	75	98	53
ENST00000450954	6	4	6	15	18	12
ENST00000450955	234	183	282	224	321	216
ENST00000450962			1			1
ENST00000450969	1410	1114	1805	1758	2381	1465
ENST00000450976	3	2	4	4	6	3
ENST00000450979		1			1	
ENST00000450982			1		1	2
ENST00000450991	25	20	31	58	59	50
ENST00000450993					1	
ENST00000451013	165	121	198	261	293	210
ENST00000451014	561	416	645	618	717	514
ENST00000451024	11	12	12	17	6	10
ENST00000451025	25	17	28	28	39	19
ENST00000451029	7	2	4	7	6	3
ENST00000451053	85	71	126	133	163	118
ENST00000451055						1
ENST00000451060	262	213	290	277	359	255
ENST00000451080				1		
ENST00000451081	233	179	274	312	340	206
ENST00000451102	68	44	65	95	129	90
ENST00000451104	491	323	538	535	693	463
ENST00000451107				1		
ENST00000451119	8	9	6	4	12	15
ENST00000451127				1	3	5
ENST00000451130	242	180	289	261	343	228
ENST00000451136	2	4	9	5	14	4
ENST00000451137	27	15	23	57	59	32
ENST00000451138	264	202	342	383	502	367
ENST00000451154				1		3
ENST00000451155	112	85	141	105	128	91
ENST00000451157	30	9	23	26	29	30
ENST00000451158	74	49	93	118	147	92
ENST00000451165	11	15	13	14	26	17
ENST00000451193	10	9	10	19	19	9
ENST00000451195	128	119	167	173	190	139
ENST00000451211	59	46	81	77	102	65
ENST00000451218	8	8	11	10	11	11
ENST00000451231	1			1	1	
ENST00000451244						1
ENST00000451246	9	11	4	8	7	6
ENST00000451249	104	85	147	116	144	81
ENST00000451251	16	11	22	31	37	28
ENST00000451256	40	32	43	42	66	30
ENST00000451261	5	5	14	10	22	6
ENST00000451270	310	238	421	415	521	341
ENST00000451275		1	1	1	9	9
ENST00000451277	5	4	10	6	18	5
ENST00000451283	172	146	207	239	256	167
ENST00000451287	6	2	5	11	10	8
ENST00000451288	102	76	97	133	164	95
ENST00000451297	40	49	53	57	61	38
ENST00000451299	37	29	34	45	51	31
ENST00000451301	3709	2626	4021	3988	4554	3102
ENST00000451311	78	36	63	108	165	98
ENST00000451315	1244	991	1559	1524	1930	1492
ENST00000451316	1					
ENST00000451320	89	72	97	133	177	116
ENST00000451321	75	64	85	97	125	80
ENST00000451324	5	7	11	4	8	7
ENST00000451343	1					
ENST00000451351	9	6	17	12	17	12
ENST00000451367	202	147	220	274	357	221
ENST00000451378	278	260	431	334	416	273
ENST00000451385	4	3	2	5	2	2
ENST00000451389	2		1	1		
ENST00000451402	669	442	684	609	807	504
ENST00000451422	99	61	112	106	133	92
ENST00000451429	532	391	562	416	527	384
ENST00000451430	170	116	171	110	154	103
ENST00000451436	4	8	6	9	10	8
ENST00000451445	337	253	415	433	564	333
ENST00000451457	26	17	17	36	37	24
ENST00000451462	458	337	438	600	710	416
ENST00000451463	13	12	23	17	28	12
ENST00000451491	42	26	62	35	51	21
ENST00000451493	891	605	1060	628	862	584
ENST00000451498	1					
ENST00000451500	18	15	24	18	25	18
ENST00000451517	58	43	62	52	77	54
ENST00000451521	111	72	109	92	157	91
ENST00000451522	32	28	33	35	54	32
ENST00000451528	17	13	14	16	26	25
ENST00000451531	1230	776	1343	1281	2077	1328
ENST00000451559	1					
ENST00000451562	7421	5440	8766	10370	11208	7494
ENST00000451578			1	5	3	4
ENST00000451590	78	53	87	91	103	79
ENST00000451604	28	21	26	31	37	37
ENST00000451613	47	41	56	91	86	55
ENST00000451623	72	59	87	100	115	75
ENST00000451628	3		3	7	9	3
ENST00000451636						1
ENST00000451651	11	5	9	14	19	12
ENST00000451657	132	98	187	175	180	198
ENST00000451674	4	6	11	7	8	8
ENST00000451681	14	13	21	16	12	14
ENST00000451682	223	148	235	214	285	163
ENST00000451699	43	36	84	94	101	76
ENST00000451717	1	1	1		1	1
ENST00000451728	2180	1675	2563	2702	3081	2305
ENST00000451739	67	65	85	106	122	75
ENST00000451764	29	41	35	46	86	36
ENST00000451765	304	200	328	269	336	235
ENST00000451767			1	2		1
ENST00000451782	350	280	432	371	534	384
ENST00000451802	44	33	39	52	81	50
ENST00000451813	430	311	466	402	571	323
ENST00000451819	17	11	16	16	22	13
ENST00000451821	33	25	49	71	82	54
ENST00000451834	48	47	67	59	72	50
ENST00000451838	23	12	41	48	52	29
ENST00000451850	142	117	179	80	73	41
ENST00000451876	83	77	102	115	118	95
ENST00000451881	305	213	378	349	435	326
ENST00000451882	2	1	2	6	1	6
ENST00000451885	2	3		4	10	4
ENST00000451899	100	79	85	174	208	134
ENST00000451903	85	63	102	84	109	77
ENST00000451928	1					
ENST00000451944	52	29	31	47	43	31
ENST00000451956	156	108	174	195	193	143
ENST00000451957	138	122	160	174	244	128
ENST00000451974			2	1		
ENST00000451997	89	75	98	95	128	95
ENST00000452015	5		2	2	3	5
ENST00000452018	2	2		2	2	2
ENST00000452020	16	13	30	25	37	24
ENST00000452025	232	206	288	230	280	183
ENST00000452027	22	16	33	26	15	17
ENST00000452032	15	5	18	13	21	12
ENST00000452041	43	36	84	94	102	77
ENST00000452060	180	113	228	217	273	194
ENST00000452063	260	214	319	184	207	135
ENST00000452070	93	77	100	106	137	103
ENST00000452085	52	33	67	54	79	44
ENST00000452086	8	11	9	9	12	3
ENST00000452088					1	1
ENST00000452089	5	7	3	5	16	13
ENST00000452101	2		1	6	8	4
ENST00000452106	736	591	898	825	1028	778
ENST00000452109	5	1	2	7	6	6
ENST00000452113	6	2	5	4	2	6
ENST00000452124			1	1		1
ENST00000452125	13	4	7	5	6	13
ENST00000452133			2	2	2	2
ENST00000452135	343	231	323	353	444	300
ENST00000452137	4	5	5	5	6	7
ENST00000452138	254	152	270	270	337	209
ENST00000452142	1					
ENST00000452145	63	47	93	64	98	99
ENST00000452157	20	10	23	20	17	13
ENST00000452162	1	1	2	2	2	3
ENST00000452168	19	13	20	26	27	24
ENST00000452174		1	1	3	6	5
ENST00000452177			1			1
ENST00000452185	190	159	238	351	358	259
ENST00000452188		2	1	4	2	1
ENST00000452190	155	117	203	182	242	170
ENST00000452191	9	9	7	16	21	20
ENST00000452194	408	329	533	443	537	361
ENST00000452200	22707	16929	24332	17519	22432	14910
ENST00000452211	228	192	299	288	342	314
ENST00000452216	35	35	40	40	50	47
ENST00000452231	8	2	7	7	7	11
ENST00000452236	71	52	73	104	104	67
ENST00000452248	453	391	549	665	770	538
ENST00000452268	13	4	9	7	14	6
ENST00000452270	5	12	14	18	24	22
ENST00000452271					3	
ENST00000452276	75	70	96	109	119	68
ENST00000452281	37	50	65	83	93	60
ENST00000452293	11	16	17	13	13	9
ENST00000452305	4	1	3	6	9	6
ENST00000452313	8	6	9	8	10	10
ENST00000452317	180	113	228	217	273	194
ENST00000452319	4	4	11	10	5	7
ENST00000452323		1	1			
ENST00000452324	310	263	355	398	511	321
ENST00000452328	118	80	121	182	219	159
ENST00000452339	36	35	39	37	46	25
ENST00000452355	163	131	184	119	158	145
ENST00000452361	160	88	156	108	172	105
ENST00000452368	5499	4131	6502	4029	5049	3727
ENST00000452374	19	12	26	31	31	25
ENST00000452385	396	303	469	619	735	462
ENST00000452389	28	26	36	40	41	27
ENST00000452400	131	85	126	153	188	127
ENST00000452404	274	238	282	332	320	225
ENST00000452438	43	36	84	94	102	77
ENST00000452441	21	23	19	44	49	32
ENST00000452445	79	54	83	74	103	55
ENST00000452448	27	20	30	31	44	26
ENST00000452455		1			1	
ENST00000452456		1		1	6	2
ENST00000452462	2		1	1		1
ENST00000452463	165	89	137	176	264	148
ENST00000452464	62	50	82	102	117	87
ENST00000452476	1653	1292	1838	1402	1675	1166
ENST00000452479	3	5	2		8	2
ENST00000452489	197	123	188	203	298	165
ENST00000452490	75	54	68	50	71	53
ENST00000452508	204	161	259	223	252	207
ENST00000452510	3230	2489	4035	3020	4088	2805
ENST00000452533	478	395	637	554	613	445
ENST00000452555	8	6	15	13	18	19
ENST00000452556	57	51	70	61	85	65
ENST00000452576	8	7	11	11	22	13
ENST00000452581		1		2	1	3
ENST00000452588	730	543	801	627	855	558
ENST00000452595	221	172	272	213	302	200
ENST00000452611		2	5	3	5	4
ENST00000452614	32	21	34	40	38	34
ENST00000452621	156	112	169	180	224	141
ENST00000452625	200	234	328	269	348	224
ENST00000452633			2	1	2	2
ENST00000452647		1	1			
ENST00000452648	2	1	2	7	6	4
ENST00000452649	1		2	1	1	1
ENST00000452655	102	56	107	106	170	88
ENST00000452671	100	97	123	135	178	116
ENST00000452673	20529	15291	21860	16481	21953	14097
ENST00000452676	3	8	12	23	14	12
ENST00000452681					1	1
ENST00000452684	37	27	42	62	49	48
ENST00000452692	2					
ENST00000452693					1	
ENST00000452699	34	30	48	45	58	45
ENST00000452722	563	429	589	629	689	508
ENST00000452732	21	18	21	34	22	24
ENST00000452733	73	67	92	105	136	111
ENST00000452755			1	1		2
ENST00000452764	1					
ENST00000452770	12	15	13	37	29	19
ENST00000452774	1	2	3	1	2	3
ENST00000452780	199	122	216	212	252	157
ENST00000452783	148	122	178	207	277	187
ENST00000452790	1176	849	1271	1310	1628	1000
ENST00000452796	276	200	253	311	359	265
ENST00000452803	2	1	1		1	
ENST00000452825	755	630	940	830	1044	735
ENST00000452831	4	3	6	14	17	11
ENST00000452837	286	204	295	289	303	193
ENST00000452839	32	29	38	44	26	29
ENST00000452853	1072	785	1240	1190	1295	1059
ENST00000452859	17	21	20	27	25	20
ENST00000452863	12	8	13	10	11	7
ENST00000452869	49	28	62	48	50	25
ENST00000452875	19	10	26	16	23	13
ENST00000452895	18	20	27	43	45	27
ENST00000452905	6	5	5	6	7	5
ENST00000452906	619	479	836	999	1133	850
ENST00000452913	61	37	56	63	87	61
ENST00000452918	280	230	335	306	357	250
ENST00000452929	771	608	878	1033	1280	811
ENST00000452935	277	175	309	286	321	209
ENST00000452938	14	7	11	10	20	15
ENST00000452939	32	16	29	36	63	37
ENST00000452943	577	479	675	767	884	634
ENST00000452959			1			
ENST00000452961	327	218	379	340	389	296
ENST00000452973	118	93	150	134	139	100
ENST00000452990	2	2	3	1	2	
ENST00000453000	8	1	3	8	5	2
ENST00000453022	237	161	239	297	357	248
ENST00000453024	1402	1101	1790	1735	2339	1454
ENST00000453029	1	2	2	5	4	2
ENST00000453030		1	1		2	3
ENST00000453034	89	53	105	113	157	97
ENST00000453037	97	61	78	100	108	71
ENST00000453046	27	16	26	32	38	37
ENST00000453061	114	78	131	116	148	114
ENST00000453072	3	2	4	4	6	3
ENST00000453074	550	415	604	495	653	366
ENST00000453089	11	12	17	8	18	9
ENST00000453091	1472	1091	1678	1574	2007	1336
ENST00000453096	51	37	75	56	79	66
ENST00000453097	7	8	16	15	16	13
ENST00000453122	44	44	74	78	85	73
ENST00000453144	122	89	124	196	256	153
ENST00000453153	142	97	152	94	119	86
ENST00000453163	557	406	578	644	712	557
ENST00000453164	48	40	36	42	81	40
ENST00000453170	73	56	94	75	99	87
ENST00000453172			2		1	
ENST00000453182	4		2	4	3	1
ENST00000453186	3	2	7	7	4	5
ENST00000453190	50	33	82	85	98	74
ENST00000453195	372	296	404	447	571	348
ENST00000453196	350	273	391	417	536	364
ENST00000453200	247	174	266	206	250	171
ENST00000453202	1	2	5	9	14	8
ENST00000453203	116	101	137	158	199	137
ENST00000453211	292	215	288	307	342	261
ENST00000453212	21	8	11	22	23	11
ENST00000453220				1	2	
ENST00000453224	36	36	51	46	61	41
ENST00000453227			1	1	2	
ENST00000453231	4	2	5	5	10	11
ENST00000453248	71	40	83	89	114	85
ENST00000453254	4	7	8	11	18	10
ENST00000453256	1	4	4	4	11	3
ENST00000453258	1			2	2	1
ENST00000453259	133	84	122	141	168	100
ENST00000453268			2	2		1
ENST00000453269	43	36	84	94	102	77
ENST00000453270	26	30	46	60	85	61
ENST00000453291	5	4	5	8	6	3
ENST00000453292		1	1	1		2
ENST00000453295	519	386	629	537	673	486
ENST00000453297	12	21	11	27	53	27
ENST00000453304	42	37	62	80	80	63
ENST00000453310	5	10	14	7	9	8
ENST00000453318	299	200	360	348	452	307
ENST00000453321	80	72	98	112	125	75
ENST00000453333			1	1	1	
ENST00000453344	2	3	3	4	3	4
ENST00000453372	57	42	46	95	93	55
ENST00000453380	7	4	5	7	14	4
ENST00000453382	22	16	25	19	17	16
ENST00000453384	15	8	22	17	14	21
ENST00000453386	2062	1530	2450	2428	3357	2089
ENST00000453390	42	32	57	63	49	50
ENST00000453396	3		5	3	1	6
ENST00000453408	268	202	302	240	329	255
ENST00000453412			3		5	
ENST00000453419						1
ENST00000453424	22	10	15	20	29	16
ENST00000453444	33	21	31	33	46	23
ENST00000453446	23	26	25	28	47	35
